name,real_name,full_name,alignment,creator,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,avg_stats
Colin Wagner,,,Good,HarperCollins,0,0,0,0,0,0,0
Cyborg (Sonar Suit),Victor Stone,,Good,Lego,100,55,55,60,40,60,62
Morph,Kevin Sydney,Kevin Sydney,Good,Marvel Comics,0,0,0,0,0,0,0
Johnny Quick,Jonathan Allen,Jonathan Allen,Bad,DC Comics,95,40,100,60,100,100,83
Air-Walker,Gabriel Lan,Gabriel Lan,Bad,Marvel Comics,75,85,100,85,100,40,81
Nick Fury (MCU),Nicholas Fury,Nicholas Joseph Fury,Good,Marvel Comics,95,15,30,45,35,85,51
Alien,Xenomorph,Xenomorph,Bad,Dark Horse Comics,75,30,40,90,55,60,58
3-D Man,"Delroy Garrett, Jr.","Delroy Garrett, Jr.",Good,Marvel Comics,85,30,60,60,40,70,58
514A (Gotham),Bruce Wayne,,,DC Comics,100,20,30,50,35,100,56
Abomination,Emil Blonsky,Emil Blonsky,Bad,Marvel Comics,85,100,80,90,100,95,92
A-Bomb,Richard Milhouse Jones,Richard Milhouse Jones,Good,Marvel Comics,80,100,80,100,100,80,90
Aa,Aa,,Good,DC Comics,80,50,55,45,100,55,64
Aaron Cash,Aaron Cash,Aaron Cash,Good,DC Comics,80,10,25,40,30,50,39
Aayla Secura,Aayla Secura,,Good,George Lucas,90,40,45,55,55,85,62
Abe Sapien,Abraham Sapien,Abraham Sapien,Good,Dark Horse Comics,95,30,35,65,100,85,68
Abin Sur,,,Good,DC Comics,75,90,55,65,100,65,75
Abra Kadabra (CW),Unknown,Unknown,Bad,DC Comics,100,10,20,30,100,55,53
Abra Kadabra,Abhararakadhararbarakh,,Bad,DC Comics,100,10,25,70,100,80,64
Abraxas,Abraxas,Abraxas,Bad,Marvel Comics,100,100,100,100,100,100,100
Absorbing Man (MCU),Carl Creel,Carl Creel,Good,Marvel Comics,75,15,30,40,100,85,58
Absorbing Man,Carl Creel,Carl Creel,Bad,Marvel Comics,70,80,25,100,100,65,73
A.I.M. Agent,,,Bad,Marvel Comics,90,5,20,25,25,70,39
Ace Morgan,Kyle Morgan,,,DC Comics,85,20,65,55,80,90,66
Achilles Warkiller,Achilles Warkiller,,Good,DC Comics,90,100,75,100,100,100,94
Acidicus,Acidicus,Acidicus,Neutral,,75,65,60,50,100,70,70
A'dal,,,,Blizzard Entertainment,85,30,70,55,65,100,68
Adam Monroe,,,Good,NBC - Heroes,80,10,10,100,100,65,61
Adam Strange,Adam Strange,Adam Strange,Good,DC Comics,90,10,35,40,55,70,50
Agent 13 (MCU),Sharon Carter,,Good,Marvel Comics,95,20,70,50,45,100,63
Agent 13,Sharon Carter,Sharon Carter,Good,Marvel Comics,90,55,70,70,65,90,73
Agent Bob,Bob,Bob,Good,Marvel Comics,60,10,15,5,5,20,19
Agent Carter,Carter,Margaret Alexandra Carter,Good,Marvel Comics,95,10,15,20,25,75,40
Agent Coulson (Destroyer Gun),Coulson,,Good,Marvel Comics,100,10,10,10,60,50,40
Agent Coulson (MCU),Phillip J. Coulson,,Good,Marvel Comics,95,10,25,30,40,75,46
Agent May (MCU),Melinda May,,Good,Marvel Comics,95,10,25,25,30,60,41
Agent Zero (FOX),David North,,,Marvel Comics,90,10,25,25,35,80,44
Agent Zero,Christoph Nord,Christoph Nord,Good,Marvel Comics,90,30,40,80,70,95,68
Ajax (FOX),Francis,Francis Freeman,,Marvel Comics,85,25,45,75,45,65,57
Akita,Akita,Akita,Good,Lego,80,10,45,15,70,70,48
Alex Danvers (CW),Alex Danvers,,Good,,95,20,40,55,35,100,58
Alex Mercer,Alexander J. Mercer,Alexander J. Mercer,Bad,Wildstorm,75,80,40,90,100,50,73
Alfred (DCEU),Alfred Pennyworth,,Good,DC Comics,95,10,10,10,15,20,27
Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,Alfred Thaddeus Crane Pennyworth,Good,DC Comics,80,10,15,10,5,55,29
Amygdala,Aaron Helzinger,,Bad,DC Comics,70,30,45,60,55,35,49
Alita,Alita,,Good,,95,50,40,100,80,100,78
All-father Hercules,Hercules,,,Marvel Comics,100,100,100,100,100,100,100
Allan Quatermain,,,Good,Wildstorm,80,40,20,75,100,85,67
Altaïr Ibn-La'Ahad,Altaïr Ibn-La'Ahad,Altaïr Ibn-La'Ahad,Good,Ubisoft,90,10,40,40,85,100,61
Alucard,Dracula,,Bad,Dark Horse Comics,80,70,100,85,100,80,86
Big Man,Frederick Foswell,Frederick Foswell,Bad,Marvel Comics,90,10,25,30,20,70,41
Amadeus Cho,Amadeus Cho,,Good,Marvel Comics,100,10,20,20,20,35,34
Amanda Waller,Amanda Waller,Amanda Blake Waller,Neutral,DC Comics,85,40,15,40,70,75,54
A.M.A.Z.O. (CW),,,,,90,100,100,100,100,100,98
Amazo,,,Bad,DC Comics,80,100,85,100,100,100,94
Ammo,,,Bad,Marvel Comics,0,0,0,0,5,0,1
Anacondrai Serpent,,,Bad,,35,75,70,70,100,45,66
Ancalagon,,,,J. R. R. Tolkien,85,100,45,80,90,65,78
Ancient One (MCU),,,Good,Marvel Comics,100,60,85,85,100,60,82
Ando Masahashi,Ando Masahashi,Ando Masahashi,Good,NBC - Heroes,0,0,0,0,0,0,0
Angel Dust,Christina,Christina,Good,Marvel Comics,70,55,25,40,15,30,39
Angel Of Death,,,Bad,Dark Horse Comics,85,30,50,40,100,55,60
Angel Salvadore (FOX),Angel Salvadore,Angel Salvadore,Bad,Marvel Comics,65,10,60,20,60,55,45
Angel Salvadore,Angel Salvadore Bohusk,Angel Salvadore Bohusk,Good,Marvel Comics,70,10,30,30,55,60,43
Angel,Liam,Liam,Good,Dark Horse Comics,90,30,60,90,100,75,74
Angela,Aldrif Odinsdottir,Aldrif Odinsdottir,Neutral,Marvel Comics,90,90,70,75,100,90,86
Animal Man,Bernhard Baker,Bernhard Baker,Good,DC Comics,80,50,45,85,75,80,69
Annabeth Chase (FOX),Annabeth Chase,Annabeth Chase,Good,,80,30,40,65,45,85,58
Annihilus,Annihilus,Annihilus,Bad,Marvel Comics,90,80,45,55,60,65,66
Ant-Man II,Scott Lang,Scott Lang,Good,Marvel Comics,90,20,15,40,55,30,42
Ant-Man (MCU),Hank Pym,Henry Jonathan Pym,Good,Marvel Comics,100,35,50,60,65,80,65
Ant-Man,Hank Pym,Henry Jonathan Pym,Good,Marvel Comics,100,20,25,30,30,30,39
Anti-Monitor,Mobius,,Bad,DC Comics,95,100,50,100,100,90,89
Anti-Spawn,The Redeemer,Jason Wynn,Bad,Image Comics,95,100,55,100,100,100,92
Anti-Venom,Eddie Brock,Edward Charles Allan Brock,,Marvel Comics,90,60,65,90,95,85,81
Apocalypse (FOX),En Sabah Nur,,,Marvel Comics,90,90,80,95,100,80,89
Aquababy,"Arthur Curry, Jr.","Arthur Curry, Jr.",Good,DC Comics,60,15,10,15,35,15,25
Aquagirl I,Tula,,Good,DC Comics,90,55,85,70,55,75,72
